company,cc,market_cap_usd,revenue_usd,employees,ticker
BOE Technology Group,CN,30901388889,28470833333,109895,000725
BP,UK,105829100000,146160000000,93700,BP.L
BPER Banca,IT,31082400000,6415200000,22964,BPE.MI
BT Group,UK,24498300000,24955500000,77200,BT-A.L
BTG Pactual,BR,50816666667,8266666667,8543,BPAC11
BW LPG,NO,2908411215,3239252336,1444,BWLPG.OL
"BXP, Inc.",US,12130000000,3160000000,826,BXP
BYD,CN,107516666667,108865277778,869600,002594
BYD Company,CN,114903846154,114224358974,869600,1211
BYD Company,HK,114903846154,114224358974,869600,1211
BYD Electronics,CN,6788461538,25605128205,165000,0285
BYD Electronics,HK,6788461538,25605128205,165000,0285
Babcock International,UK,6921500000,6578600000,30481,BAB.L
Baidu,CN,36773076923,18755128205,33500,9888
Baidu,HK,36773076923,18755128205,33500,9888
Bajaj Auto,IN,37951807229,7665903614,5231,BAJAJ-AUTO.NS
Bajaj Finance,IN,77951807229,5293975904,71613,BAJFINANCE.NS
Bajaj Finserv,IN,36144578313,18072289157,113732,BAJAJFINSV.NS
Bajaj Holdings,IN,13975903614,135421687,14,BAJAJHLDNG.NS
Baker Hughes,US,55950000000,27890000000,56000,BKR
Balima,MA,33000000,,,
Ball Corporation,US,16530000000,13670000000,16000,BALL
Banca Mediolanum,IT,18295200000,2559600000,4138,BMED.MI
Banca Monte dei Paschi di Siena,IT,38091600000,4158000000,22030,BMPS.MI
Banco BPM,IT,25336800000,5810400000,18983,BAMI.MI
Banco Comercial Português,PT,16978075386,3985311589,15712,BCP
Banco Sabadell,ES,17452800000,4762800000,13943,SAB.MC
Banco del Bajío,MX,,,4000,BBAJIOO
Banco do Brasil,BR,22294444444,12812962963,84619,BBAS3
"Bandai Namco Holdings, Inc.",JP,17466666667,9000000000,11457,7832.T
Bank AlJazira,SA,4157333333,1122666667,2770,1020.SR
Bank Albilad,SA,9909333333,1616000000,3665,1140.SR
Bank Central Asia,ID,50550632911,6834810127,27682,BBCA.JK
Bank Hapoalim,IL,25602702703,6297297297,8409,POLI
Bank Jago,ID,1167088608,129746835,621,ARTO.JK
Bank Leumi,IL,28329729730,6000000000,7514,LUMI
Bank Mandiri,ID,25848101266,9165822785,38777,BMRI.JK
Bank Negara Indonesia,ID,8488607595,3152531646,27651,BBNI.JK
Bank Pekao,PL,15485000000,4012500000,14783,PEO
Bank Rakyat Indonesia,ID,28781012658,9206962025,82203,BBRI.JK
Bank Saint Petersburg,RU,,356700000,,BSPB
Bank Syariah Indonesia,ID,5547468354,1500632911,16323,BRIS.JK
Bank Tabungan Negara,ID,1118987342,1020886076,12903,BBTN.JK
Bank of Africa (BMCE),MA,4097000000,,,BOA
Bank of America,US,428100000000,113930000000,213000,BAC
Bank of Baroda,IN,15301204819,7670120482,76693,BANKBARODA.NS
Bank of Beijing,CN,14947222222,5965277778,19975,601169
Bank of China,CN,248611111111,78745833333,313746,601988
Bank of China,HK,265384615385,82623076923,313746,3988
Bank of China Ltd,CN,265384615385,82623076923,313746,3988
Bank of Communications,CN,82076388889,29501388889,97932,601328
Bank of Ireland,IE,18727200000,4266000000,11287,BIRG.IR
Bank of Jiangsu,CN,29412500000,9395833333,21889,600919
Bank of Montreal,CA,129919117647,25500000000,53234,BMO
Bank of Ningbo,CN,28936111111,7987500000,24857,002142
Bank of Nova Scotia,CA,111213235294,25161764706,80415,BNS
Bank of Shanghai,CN,18056944444,5869444444,14558,601229
Bankinter,ES,15379200000,2991600000,6648,BKT.MC
Banorte,MX,29558333333,7838888889,35176,GFNORTEO
Banque Centrale Populaire (BCP),MA,5064000000,,,BCP
Banque Saudi Fransi,SA,13442666667,2573333333,3146,1050.SR
Baoshan Iron and Steel,CN,17725000000,44679166667,46135,600019
Barclays,UK,90297000000,34404300000,93000,BARC.L
Barito Pacific,ID,10853797468,7630000000,5268,BRPT.JK
Barratt Redrow,UK,5194300000,7531100000,7928,BTRW.L
Barrick Mining,CA,65022058824,19544117647,17500,ABX
Baxter International,US,11110000000,11320000000,37500,BAX
Baycurrent Inc.,JP,6133466667,1057333333,6788,6532.T
Bayer,DE,49831200000,48859200000,87757,BAYN.DE
Beazley,UK,9664700000,5613400000,2555,BEZ.L
Becamex IDC,VN,1589600000,278000000,3044,BCM.VN
Becle,MX,2881111111,2270000000,7790,CUERVO
Becton Dickinson,US,42080000000,22230000000,72000,BDX
Beiersdorf,DE,18576000000,10638000000,22399,BEI.DE
Beijing Kingsoft Office Software,CN,15462500000,866666667,6048,688111
Beijing-Shanghai High Speed Railway,CN,34248611111,6027777778,89,601816
Berkshire Hathaway,US,1050000000000,375390000000,387800,BRK.B
Best Buy,US,17760000000,41860000000,82000,BBY
Bezeq,IL,5559459459,2335135135,5286,BEZQ
Bharat Electronics,IN,35783132530,3326506024,11199,BEL.NS
Bharat Petroleum,IN,16144578313,60120481928,8747,BPCL.NS
Bharti Airtel,IN,141686746988,25421686747,13336,BHARTIARTL.NS
Bic,FR,2624400000,2257200000,9224,BB.PA
Bid Corporation,ZA,7987027027,13185405405,30387,BID.JO
Bidvest Group,ZA,4275675676,6970810811,134083,BVT.JO
Bio-Techne,US,11210000000,1210000000,3100,TECH
Biogen,US,29730000000,9940000000,7500,BIIB
Biomérieux,FR,8899200000,4395600000,15226,BIM.PA
BizLink Holding,TW,13944062500,2374687500,,3665
BlackRock,US,169120000000,27300000000,21100,BLK
Blackstone Inc.,US,150540000000,15840000000,5285,BX
Block,AU,66510000000,24190000000,10205,XYZ.AX
"Block, Inc.",US,46050000000,24480000000,10205,XYZ
Boeing,US,164540000000,92180000000,182000,BA
Boliden,SE,13421904762,9872380952,7500,BOL.ST
Bolloré,FR,11912400000,3164400000,2940,BOL.PA
Bolsa Mexicana de Valores,MX,,,,BOLSAA
Booking Holdings,US,133630000000,27690000000,24300,BKNG
Borouge,AE,19479000000,5607000000,2979,BOROUGE.AD
Bosch,IN,14819277108,2386506024,37131,BOSCHLTD.NS
Boston Scientific,US,64170000000,20610000000,59000,BSX
Bouygues,FR,20174400000,60998400000,200000,EN.PA
Bradesco,BR,34733333333,16975925926,69653,BBDC4
Bradespar,BR,1159259259,2937037,,BRAP4
Brambles,AU,16980000000,6840000000,12058,BXB.AX
Braskem,BR,816666667,12361111111,8233,BRKM5
Brava Energia,BR,1751851852,2200000000,531,BRAV3
Brenntag,DE,9212400000,16383600000,17300,BNR.DE
Bridgestone Corp.,JP,31400000000,29533333333,115716,5108.T
Bristol Myers Squibb,US,125870000000,48480000000,32500,BMY
Britannia Industries,IN,15903614458,2300120482,5792,BRITANNIA.NS
British American Tobacco,UK,126453900000,32524700000,47797,BATS.L
British American Tobacco,ZA,127449600000,32780800000,47797,BATS.L
British Land,UK,5702300000,782320000,611,BLND.L
Broadcom,US,1860000000000,75470000000,33000,AVGO
Broadridge Financial Solutions,US,16600000000,7320000000,15000,BR
Brookfield Asset Management,CA,76742647059,5205882353,5800,BAM
Brookfield Corporation,CA,98919117647,81198529412,250000,BN
Brookfield Infrastructure Partners,CA,19073529412,24639705882,6000,BIP.UN
Brown & Brown,US,22210000000,6260000000,22888,BRO
