company,cc,market_cap_usd,revenue_usd,employees,ticker
PKO Bank Polski,PL,33912500000,7292500000,26326,PKO
PKN Orlen,PL,44080000000,67487500000,66563,PKN
Bank Pekao,PL,15485000000,4012500000,14783,PEO
KGHM Polska Miedź,PL,15725000000,9822500000,34477,KGH
PZU,PL,15322500000,15642500000,43728,PZU
LPP,PL,9422500000,5907500000,63000,LPP
Santander Bank Polska,PL,16922500000,3862500000,10144,SPL
Allegro,PL,11032500000,2962500000,5754,ALE
CD Projekt,PL,5815000000,219502500,808,CDR
Dino Polska,PL,7417500000,8680000000,56715,DNP
mBank,PL,14460000000,3030000000,7851,MBK
Żabka Group,PL,8357500000,7012500000,4257,ZAB
Alior Bank,PL,4455000000,1432500000,6740,ALR
Grupa Kęty,PL,3287500000,1377500000,6000,KTY
Tauron,PL,4180000000,8557500000,19267,TPE
PGE,PL,5722500000,15430000000,40148,PGE
Budimex,PL,4785000000,2322500000,5513,BDX
Kruk,PL,2047500000,652500000,3605,KRU
Pepco Group,PL,6032500000,4982500000,31582,PCO
Altri,PT,1036850632,691986176,835,ALTR
Banco Comercial Português,PT,16978075386,3985311589,15712,BCP
Corticeira Amorim,PT,945177665,909947079,4341,COR
CTT Correios de Portugal,PT,886164813,1468841128,11803,CTT
EDP Renováveis,PT,16060049681,2376066530,2615,EDPR
Energias de Portugal,PT,20585376391,16816070850,11865,EDP
Galp Energia,PT,15962846960,21319796954,7095,GALP
Ibersol,PT,398855168,577826979,7584,IBS
Jerónimo Martins,PT,11577924182,39442704396,147709,JMT
Mota-Engil,PT,1566043849,5724160276,21034,EGL
NOS,PT,2721676207,2008856248,3085,NOS
Novabase,PT,311966735,134431364,1232,NBA
Pharol,PT,79879037,,11,PHR
Redes Energéticas Nacionais,PT,2646074090,1144832055,787,RENE
Semapa,PT,1792850200,2203261691,8271,SEM
Sonae,PT,4298520359,12593152608,44833,SON
The Navigator Company,PT,2462468949,2019656550,3893,NVG
Anadolu Efes,TR,4092812500,7757500000,15885,AEFES
Akbank,TR,10814375000,6551562500,13146,AKBNK
Aselsan,TR,52812500000,5779062500,16243,ASELS
BİM,TR,14813125000,23144062500,101663,BIMAS
Emlak Konut GYO,TR,2330937500,2847812500,1428,EKGYO
Enka İnşaat,TR,16681250000,4890937500,25929,ENKAI
Ereğli Demir Çelik,TR,9240000000,6720312500,12833,EREGL
Ford Otosan,TR,8931875000,25397187500,24962,FROTO
Garanti BBVA,TR,16524375000,11339062500,23376,GARAN
Gübretaş,TR,4461875000,1772500000,1931,GUBRF
Türkiye İş Bankası,TR,11690937500,12488125000,20630,ISCTR
Koç Holding,TR,16190000000,87187500000,122623,KCHOL
Kardemir,TR,1501875000,1979062500,4458,KRDMD
Migros,TR,3615312500,13104687500,62453,MGROS
Petkim,TR,1759687500,2904375000,2363,PETKM
Sabancı Holding,TR,5848125000,8134375000,60769,SAHOL
SASA Polyester,TR,3614687500,1794062500,3608,SASA
Şişecam,TR,4181250000,6953437500,22318,SISE
TAV Havalimanları,TR,3124687500,2691562500,21828,TAVHL
Turkcell,TR,7549687500,7721250000,16649,TCELL
Türk Hava Yolları,TR,13842500000,35000000000,66917,THYAO
Tofaş,TR,4648437500,12431875000,4600,TOASO
Türk Telekom,TR,6414687500,7731875000,31076,TTKOM
Tüpraş,TR,18891562500,27532187500,6374,TUPRS
VakıfBank,TR,9488437500,7676250000,19073,VAKBN
Yapı Kredi,TR,8748125000,6564375000,15656,YKBNK
Pegasus Airlines,TR,2546875000,5103125000,9774,PGSUS
Astor Enerji,TR,9356250000,1136250000,2585,ASTOR
Aeroflot,RU,,6800000000,33500,AFLT
Alrosa,RU,,2810000000,32475,ALRS
Bank Saint Petersburg,RU,,356700000,,BSPB
Credit Bank of Moscow,RU,,699000000,,CBOM
Detsky Mir,RU,,2230000000,,DSKY
En+ Group,RU,,10360000000,90000,ENPG
Gazprom,RU,,117000000000,466000,GAZP
Inter RAO,RU,,21000000000,15879,IRAO
Lenta,RU,,6570000000,35100,LNTA
Lukoil,RU,,45000000000,101000,LKOH
Magnit,RU,,41900000000,300000,MGNT
Mechel,RU,,3430000000,80000,MTLR
MMK,RU,,7280000000,,MAGN
Moscow Exchange,RU,,,,MOEX
Mosenergo,RU,,2510000000,16725,MSNG
MTS,RU,,,60000,MTSS
Norilsk Nickel,RU,,13800000000,73700,GMKN
NLMK,RU,,9233333333,60200,NLMK
Novatek,RU,,17300000000,5997,NVTK
Ozon,RU,,9020000000,49889,OZON
PhosAgro,RU,,5710000000,5001,PHOR
PIK Group,RU,,5270000000,13000,PIKK
Polyus,RU,,8720000000,,PLZL
Rosneft,RU,,93570000000,334600,ROSN
Rostelecom,RU,,10400000000,136700,RTKM
Rusagro,RU,,4730000000,,RAGR
Rusal,RU,,14800000000,64000,RUAL
RusHydro,RU,,5510000000,69665,HYDR
Sberbank,RU,,40000000000,281000,SBER
Severstal,RU,,7922222222,50000,CHMF
Sistema,RU,,12300000000,70000,AFKS
Sovcombank,RU,,,,SVCB
Sovcomflot,RU,,1440000000,7700,FLOT
Surgutneftegas,RU,,20100000000,92935,SNGS
Tatneft,RU,,21700000000,60000,TATN
T-Bank,RU,,3589866667,4600,
Transneft,RU,,16003122222,122800,TRNFP
Unipro,RU,,1600000000,4300,UPRO
VTB Bank,RU,,13175555556,,VTBR
X5 Group,RU,,36900000000,,FIVE
Yandex,RU,,20000000000,36991,
