Equity Residential	US	S&P500	Real Estate	Multi-Family Residential REITs
Erie Indemnity	US	S&P500	Financials	Insurance Brokers
Essex Property Trust	US	S&P500	Real Estate	Multi-Family Residential REITs
Estée Lauder Companies (The)	US	S&P500	Consumer Staples	Personal Care Products
Everest Group	US	S&P500	Financials	Reinsurance
Evergy	US	S&P500	Utilities	Electric Utilities
Eversource Energy	US	S&P500	Utilities	Electric Utilities
Exelon	US	S&P500	Utilities	Electric Utilities
Expand Energy	US	S&P500	Energy	Oil & Gas Exploration & Production
Expedia Group	US	S&P500	Consumer Discretionary	Hotels, Resorts & Cruise Lines
Expeditors International	US	S&P500	Industrials	Air Freight & Logistics
Extra Space Storage	US	S&P500	Real Estate	Self-Storage REITs
ExxonMobil	US	S&P500	Energy	Integrated Oil & Gas
F5, Inc.	US	S&P500	Information Technology	Communications Equipment
FactSet	US	S&P500	Financials	Financial Exchanges & Data
Fair Isaac	US	S&P500	Information Technology	Application Software
Fastenal	US	S&P500	Industrials	Trading Companies & Distributors
Federal Realty Investment Trust	US	S&P500	Real Estate	Retail REITs
FedEx	US	S&P500	Industrials	Air Freight & Logistics
FedEx Freight	US	S&P500	Industrials	Cargo Ground Transportation
Fidelity National Information Services	US	S&P500	Financials	Transaction & Payment Processing Services
Fifth Third Bancorp	US	S&P500	Financials	Regional Banks
First Solar	US	S&P500	Information Technology	Semiconductors
FirstEnergy	US	S&P500	Utilities	Electric Utilities
Fiserv	US	S&P500	Financials	Transaction & Payment Processing Services
Flex Ltd.	US	S&P500	Information Technology	Electronic Manufacturing Services
Ford Motor Company	US	S&P500	Consumer Discretionary	Automobile Manufacturers
Fortinet	US	S&P500	Information Technology	Systems Software
Fortive	US	S&P500	Industrials	Industrial Machinery & Supplies & Components
Fox Corporation (Class A)	US	S&P500	Communication Services	Broadcasting
Fox Corporation (Class B)	US	S&P500	Communication Services	Broadcasting
Franklin Resources	US	S&P500	Financials	Asset Management & Custody Banks
Freeport-McMoRan	US	S&P500	Materials	Copper
Garmin	US	S&P500	Consumer Discretionary	Consumer Electronics
Gartner	US	S&P500	Information Technology	IT Consulting & Other Services
GE Aerospace	US	S&P500	Industrials	Aerospace & Defense
GE HealthCare	US	S&P500	Health Care	Health Care Equipment
GE Vernova	US	S&P500	Industrials	Heavy Electrical Equipment
Gen Digital	US	S&P500	Information Technology	Systems Software
Generac	US	S&P500	Industrials	Heavy Electrical Equipment
General Dynamics	US	S&P500	Industrials	Aerospace & Defense
General Mills	US	S&P500	Consumer Staples	Packaged Foods & Meats
General Motors	US	S&P500	Consumer Discretionary	Automobile Manufacturers
Genuine Parts Company	US	S&P500	Consumer Discretionary	Distributors
Gilead Sciences	US	S&P500	Health Care	Biotechnology
Global Payments	US	S&P500	Financials	Transaction & Payment Processing Services
Globe Life	US	S&P500	Financials	Life & Health Insurance
GoDaddy	US	S&P500	Information Technology	Internet Services & Infrastructure
Goldman Sachs	US	S&P500	Financials	Investment Banking & Brokerage
Halliburton	US	S&P500	Energy	Oil & Gas Equipment & Services
Hartford (The)	US	S&P500	Financials	Property & Casualty Insurance
Hasbro	US	S&P500	Consumer Discretionary	Leisure Products
HCA Healthcare	US	S&P500	Health Care	Health Care Facilities
Healthpeak Properties	US	S&P500	Real Estate	Health Care REITs
Henry Schein	US	S&P500	Health Care	Health Care Distributors
Hershey Company (The)	US	S&P500	Consumer Staples	Packaged Foods & Meats
Hewlett Packard Enterprise	US	S&P500	Information Technology	Technology Hardware, Storage & Peripherals
Hilton Worldwide	US	S&P500	Consumer Discretionary	Hotels, Resorts & Cruise Lines
Home Depot (The)	US	S&P500	Consumer Discretionary	Home Improvement Retail
Honeywell Aerospace	US	S&P500	Industrials	Aerospace & Defense
Honeywell Technologies	US	S&P500	Industrials	Industrial Conglomerates
Hormel Foods	US	S&P500	Consumer Staples	Packaged Foods & Meats
Host Hotels & Resorts	US	S&P500	Real Estate	Hotel & Resort REITs
Howmet Aerospace	US	S&P500	Industrials	Aerospace & Defense
